City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lorengau,-2.0226,147.2712,27.85,80,99,4.32,PG,1670122942
1,salacgriva,57.7536,24.3581,-3.12,94,100,3.14,LV,1670122942
2,avarua,-21.2078,-159.775,28.03,83,100,3.6,CK,1670122943
3,okahandja,-21.9833,16.9167,22.13,22,75,1.32,NA,1670122943
4,cape town,-33.9258,18.4232,16.6,72,1,3.58,ZA,1670122943
5,rikitea,-23.1203,-134.9692,23.76,79,6,6.17,PF,1670122943
6,sao pedro do sul,-29.6206,-54.1789,20.51,97,21,2.76,BR,1670122944
7,hermanus,-34.4187,19.2345,14.05,70,38,2.14,ZA,1670122944
8,chokurdakh,70.6333,147.9167,-30.72,99,59,4.67,RU,1670122944
9,ajdabiya,30.7554,20.2263,14.28,48,0,5.41,LY,1670122944
10,north bend,43.4065,-124.2243,7.82,98,100,2.18,US,1670122945
11,hobart,-42.8794,147.3294,18.92,71,75,4.12,AU,1670122945
12,sitka,57.0531,-135.33,0.15,67,7,0.75,US,1670122945
13,talnakh,69.4865,88.3972,-19.95,99,100,2.53,RU,1670122946
14,bredasdorp,-34.5322,20.0403,12.02,73,9,0.59,ZA,1670122946
15,albany,42.6001,-73.9662,4.21,62,15,1.79,US,1670122946
16,jamestown,42.097,-79.2353,1.68,62,100,6.17,US,1670122710
17,pesochnoye,58.006,39.1772,-13.24,95,92,2.93,RU,1670122947
18,castro,-24.7911,-50.0119,17.86,94,100,1.62,BR,1670122947
19,taloqan,36.7361,69.5345,3.66,80,100,0.23,AF,1670122947
20,tuktoyaktuk,69.4541,-133.0374,-13.0,85,100,12.35,CA,1670122947
21,port hardy,50.6996,-127.4199,1.65,72,4,1.27,CA,1670122948
22,ixtapa,20.7,-105.2,25.13,81,85,0.79,MX,1670122832
23,hunchun,42.8675,130.3581,-9.71,42,9,7.14,CN,1670122948
24,zharkovskiy,55.849,32.2697,-6.03,90,100,3.76,RU,1670122948
25,shenzhen,22.5455,114.0683,22.86,84,99,2.79,CN,1670122667
26,punta arenas,-53.15,-70.9167,6.06,65,40,4.12,CL,1670122671
27,mineros,-17.1167,-63.2333,25.42,55,83,1.1,BO,1670122948
28,georgetown,5.4112,100.3354,28.96,83,20,2.57,MY,1670122949
29,haines junction,60.7522,-137.5108,-13.48,93,17,0.89,CA,1670122949
30,leningradskiy,69.3833,178.4167,-10.15,86,100,7.28,RU,1670122949
31,tuatapere,-46.1333,167.6833,14.45,71,100,4.88,NZ,1670122949
32,salamanca,40.8333,-6.0,1.11,77,78,0.58,ES,1670122950
33,avanigadda,16.0215,80.9181,26.52,77,1,2.88,IN,1670122950
34,dikson,73.5069,80.5464,-1.89,97,100,10.07,RU,1670122950
35,busselton,-33.65,115.3333,21.74,51,57,6.29,AU,1670122950
36,homa bay,-0.5273,34.4571,18.25,75,9,1.57,KE,1670122951
37,mount isa,-20.7333,139.5,32.87,17,75,3.09,AU,1670122951
38,yenagoa,4.9247,6.2642,24.43,93,16,1.75,NG,1670122951
39,guerrero negro,27.9769,-114.0611,17.98,80,95,3.95,MX,1670122952
40,cayenne,4.9333,-52.3333,23.02,94,75,0.51,GF,1670122806
41,soligalich,59.0778,42.2864,-13.26,95,45,2.0,RU,1670122952
42,peniche,39.3558,-9.3811,11.17,94,15,4.16,PT,1670122952
43,kirakira,-10.4544,161.9205,28.93,74,100,3.86,SB,1670122952
44,mataura,-46.1927,168.8643,15.61,59,99,4.44,NZ,1670122953
45,bluff,-46.6,168.3333,13.21,80,100,11.41,NZ,1670122953
46,namibe,-15.1961,12.1522,21.12,86,99,1.58,AO,1670122953
47,nelson bay,-32.7167,152.15,25.03,66,84,5.81,AU,1670122802
48,tuy hoa,13.0833,109.3,25.83,88,94,4.92,VN,1670122954
49,nishihara,26.1842,127.7558,25.81,78,20,4.12,JP,1670122954
50,hilo,19.7297,-155.09,25.16,92,96,1.79,US,1670122801
51,zhigansk,66.7697,123.3711,-29.08,98,100,8.79,RU,1670122954
52,krasnoselkup,65.7,82.4667,-26.29,100,92,1.16,RU,1670122954
53,esperance,-33.8667,121.9,19.93,67,98,8.44,AU,1670122955
54,san patricio,28.017,-97.5169,20.05,82,100,3.63,US,1670122955
55,suzun,53.7841,82.3116,-22.1,99,100,0.84,RU,1670122955
56,qaqortoq,60.7167,-46.0333,-10.36,84,5,3.72,GL,1670122955
57,vaini,-21.2,-175.2,26.6,84,92,5.9,TO,1670122956
58,iquitos,-3.7481,-73.2472,26.16,69,100,0.63,PE,1670122956
59,qaanaaq,77.484,-69.3632,-17.92,86,100,1.56,GL,1670122956
60,kapaa,22.0752,-159.319,27.18,73,75,4.63,US,1670122956
61,ushuaia,-54.8,-68.3,1.79,97,54,1.91,AR,1670122957
62,portland,45.5234,-122.6762,4.38,59,43,8.49,US,1670122821
63,mindelo,16.8901,-24.9804,19.75,68,20,3.6,CV,1670122957
64,victoria,22.2855,114.1577,21.64,80,56,4.02,HK,1670122943
65,tlaxco,19.6167,-98.1167,9.63,87,64,3.94,MX,1670122957
66,mar del plata,-38.0023,-57.5575,13.24,78,0,5.04,AR,1670122958
67,nikolskoye,59.7035,30.7861,-5.05,87,100,3.8,RU,1670122958
68,ambilobe,-13.2,49.05,23.57,85,1,1.62,MG,1670122958
69,saldanha,-33.0117,17.9442,15.53,75,43,8.69,ZA,1670122959
70,naze,28.3667,129.4833,21.08,80,76,1.07,JP,1670122959
71,monastyrshchina,54.3496,31.838,-7.99,93,98,4.24,RU,1670122959
72,aras,42.5617,-2.356,0.23,100,100,0.0,ES,1670122959
73,barrow,71.2906,-156.7887,-16.99,85,0,5.14,US,1670122960
74,bida,9.0833,6.0167,24.24,38,41,0.33,NG,1670122960
75,lifford,54.8319,-7.4836,5.03,84,100,3.59,IE,1670122960
76,waverly,42.7392,-84.6208,-3.36,77,6,4.2,US,1670122683
77,butembo,0.15,29.2833,12.74,92,55,1.01,CD,1670122960
78,utiel,39.5667,-1.2,4.76,82,56,1.2,ES,1670122961
79,muravlenko,63.7898,74.523,-20.61,98,44,3.89,RU,1670122961
80,fremont,37.5483,-121.9886,11.78,95,75,2.57,US,1670122695
81,khani,41.9563,42.9566,3.76,98,100,1.8,GE,1670122961
82,hasaki,35.7333,140.8333,14.05,45,47,2.72,JP,1670122961
83,tual,-5.6667,132.75,28.67,69,46,1.56,ID,1670122962
84,yellowknife,62.456,-114.3525,0.56,73,100,12.14,CA,1670122916
85,wilmington,34.2257,-77.9447,17.14,86,100,2.2,US,1670122711
86,brzesko,49.9691,20.6061,1.65,94,99,2.23,PL,1670122765
87,palmer,42.1584,-72.3287,6.25,59,20,6.69,US,1670122962
88,mount gambier,-37.8333,140.7667,29.72,23,100,5.47,AU,1670122962
89,alofi,-19.0595,-169.9187,27.41,70,94,2.96,NU,1670122963
90,ketchikan,55.3422,-131.6461,-3.2,52,8,1.78,US,1670122963
91,baykit,61.67,96.37,-27.99,100,67,1.17,RU,1670122963
92,luderitz,-26.6481,15.1594,14.67,74,3,6.63,NA,1670122778
93,saint anthony,45.0205,-93.218,-11.72,75,0,2.57,US,1670122964
94,ilebo,-4.3167,20.5833,20.88,99,100,0.58,CD,1670122964
95,sagarejo,41.734,45.3315,1.24,99,100,1.82,GE,1670122699
96,champerico,14.3,-91.9167,26.47,76,8,1.39,GT,1670122964
97,saryozek,44.3583,77.9753,-8.08,90,100,0.82,KZ,1670122964
98,port lincoln,-34.7333,135.8667,22.36,59,87,6.19,AU,1670122965
99,duku,11.2361,4.9073,23.99,29,15,2.0,NG,1670122965
100,ponta do sol,32.6667,-17.1,16.51,76,52,4.73,PT,1670122965
101,atuona,-9.8,-139.0333,25.44,78,3,7.02,PF,1670122965
102,sur,22.5667,59.5289,22.63,62,0,2.26,OM,1670122966
103,saint-philippe,-21.3585,55.7679,24.77,84,92,3.72,RE,1670122966
104,bethel,41.3712,-73.414,8.05,62,4,0.89,US,1670122958
105,chachapoyas,-6.2317,-77.869,10.83,88,14,1.11,PE,1670122966
106,moerai,-22.4333,-151.3333,25.15,86,89,5.18,PF,1670122967
107,tiksi,71.6872,128.8694,-22.88,95,100,8.33,RU,1670122967
108,sussex,41.1834,-74.6663,6.47,66,100,2.57,US,1670122967
109,constitucion,-35.3333,-72.4167,13.41,72,52,5.42,CL,1670122856
110,poum,-20.2333,164.0167,26.62,82,100,5.35,NC,1670122967
111,provideniya,64.3833,-173.3,0.9,98,100,4.27,RU,1670122968
112,sao jose da coroa grande,-8.8978,-35.1478,24.8,85,3,4.77,BR,1670122968
113,lompoc,34.6391,-120.4579,16.08,94,100,4.12,US,1670122804
114,upernavik,72.7868,-56.1549,-6.98,67,100,10.41,GL,1670122968
115,laguna,38.421,-121.4238,7.25,95,100,3.09,US,1670122968
116,klaksvik,62.2266,-6.589,5.51,93,100,2.44,FO,1670122969
117,erzurum,40.0,41.5,-6.18,79,8,1.81,TR,1670122969
118,new norfolk,-42.7826,147.0587,18.73,31,100,1.7,AU,1670122969
119,greenville,35.6127,-77.3663,16.01,97,75,2.06,US,1670122702
120,hamilton,39.1834,-84.5333,0.52,77,0,0.89,US,1670122969
121,tyukalinsk,55.8732,72.1967,-20.13,93,89,2.66,RU,1670122970
122,dusti,37.3481,68.664,6.15,65,100,0.96,TJ,1670122970
123,santa lucia,27.9117,-15.5407,13.62,94,100,1.03,ES,1670122750
124,petropavlovskaya,45.0819,40.4512,-2.25,70,20,9.4,RU,1670122970
125,yulara,-25.2406,130.9889,36.74,9,0,4.19,AU,1670122970
126,byron bay,-28.65,153.6167,22.75,85,95,5.6,AU,1670122971
127,agbor,6.2518,6.1934,22.76,99,59,1.33,NG,1670122971
128,sfantu gheorghe,45.8667,25.7833,5.15,87,100,2.36,RO,1670122971
129,mahebourg,-20.4081,57.7,24.58,73,15,4.13,MU,1670122967
130,minsk mazowiecki,52.1794,21.5725,1.88,93,100,5.27,PL,1670122971
131,gazanjyk,39.2446,55.5154,0.47,50,100,6.38,TM,1670122972
132,hanzhong,33.0728,107.0303,8.46,48,95,2.65,CN,1670122972
133,bafoulabe,13.8065,-10.8321,28.38,21,96,1.1,ML,1670122972
134,malartic,48.1335,-78.1328,-11.73,86,100,4.32,CA,1670122973
135,puerto ayora,-0.7393,-90.3518,19.75,97,61,3.13,EC,1670122973
136,port-cartier,50.0334,-66.8654,2.64,100,100,2.08,CA,1670122973
137,deputatskiy,69.3,139.9,-27.26,97,100,2.12,RU,1670122973
138,boguchany,58.3814,97.4531,-23.18,99,67,1.72,RU,1670122974
139,marrakesh,31.6315,-8.0083,11.04,87,75,1.03,MA,1670122974
140,mitsamiouli,-11.3847,43.2844,26.27,80,3,5.33,KM,1670122974
141,cherskiy,68.75,161.3,-14.47,96,100,2.62,RU,1670122975
142,port elizabeth,-33.918,25.5701,17.4,87,0,2.06,ZA,1670122763
143,afyonkarahisar,38.75,30.6667,4.62,85,99,1.07,TR,1670122975
144,micheweni,-4.9667,39.8333,26.03,79,49,3.15,TZ,1670122975
145,hanna,51.6334,-111.9018,-11.19,65,11,6.26,CA,1670122929
146,abu samrah,35.3029,37.1841,12.11,71,100,1.08,SY,1670122975
147,carlos chagas,-17.7031,-40.7664,20.56,98,98,1.43,BR,1670122976
148,churapcha,62.0025,132.4325,-31.28,95,100,0.29,RU,1670122976
149,gazojak,41.1875,61.4036,-5.0,49,100,4.81,TM,1670122976
150,manta,-0.95,-80.7333,22.26,81,46,5.45,EC,1670122917
151,tupik,54.4253,119.9327,-22.88,84,77,1.06,RU,1670122976
152,gondanglegi,-7.7479,112.0132,29.69,66,100,1.9,ID,1670122977
153,karaikkudi,10.0667,78.7833,25.36,82,86,6.17,IN,1670122977
